query_id,natural_language_query,sql_query,query_type,business_value,complexity,tables_used,filters_applied,aggregation_type,training_category
TR001,"Show all business relationships","SELECT * FROM ciqbusinessrel;","select","Provides complete overview of corporate relationship network for initial data exploration","simple","ciqbusinessrel","none","none","basic_select"
TR002,"List all types of business relationships","SELECT * FROM ciqbusinessreltype;","select","Helps understand taxonomy of business relationships for proper categorization","simple","ciqbusinessreltype","none","none","basic_select"
TR003,"Show all active relationship types","SELECT * FROM ciqbusinessreltype WHERE currentflag = 1;","select","Identifies which relationship categories are currently in use for system maintenance","simple","ciqbusinessreltype","currentflag","none","simple_filter"
TR004,"What are the different sources of business relationship data?","SELECT * FROM ciqbusinessrelsourcetype;","select","Assesses data reliability and source diversity for compliance reporting","simple","ciqbusinessrelsourcetype","none","none","basic_select"
TR005,"Find all supplier relationships","SELECT * FROM ciqbusinessreltype WHERE parentname = 'Supplier';","select","Essential for supply chain analysis and vendor management strategies","simple","ciqbusinessreltype","parentname","none","simple_filter"
TR006,"Show relationships for parent company 9639657","SELECT * FROM ciqbusinessrel WHERE parentcompanyid = 9639657;","select","Critical for due diligence on specific company subsidiaries for M&A decisions","simple","ciqbusinessrel","parentcompanyid","none","company_filter"
TR007,"Find all relationships where company 420017708 is the child","SELECT * FROM ciqbusinessrel WHERE childcompanyid = 420017708;","select","Reveals ownership structure and dependencies for risk assessment","simple","ciqbusinessrel","childcompanyid","none","company_filter"
TR008,"List relationships discovered through Direct Company Contact","SELECT * FROM ciqbusinessrel WHERE businessrelsourcetypeid = 3;","select","Identifies high-confidence data sourced directly from companies","simple","ciqbusinessrel","businessrelsourcetypeid","none","source_filter"
TR009,"Show relationships with source identifier 330399193","SELECT * FROM ciqbusinessrel WHERE sourceidentifier = '330399193';","select","Enables audit trail and verification of specific relationship data","simple","ciqbusinessrel","sourceidentifier","none","identifier_filter"
TR010,"Find inactive relationship types","SELECT * FROM ciqbusinessreltype WHERE currentflag = 0;","select","Identifies deprecated relationship categories for system cleanup","simple","ciqbusinessreltype","currentflag","none","status_filter"
TR011,"Show all business relationships with their type names","SELECT br.*, brt.parentname, brt.childname FROM ciqbusinessrel br JOIN ciqbusinessreltype brt ON br.businessreltypeid = brt.businessreltypeid;","select_join","Provides human-readable relationship descriptions for executive reports","medium","ciqbusinessrel,ciqbusinessreltype","none","none","basic_join"
TR012,"List all relationships with their source information","SELECT br.*, brst.businessrelsourcetypename FROM ciqbusinessrel br JOIN ciqbusinessrelsourcetype brst ON br.businessrelsourcetypeid = brst.businessrelsourcetypeid;","select_join","Assesses data credibility for risk management decisions","medium","ciqbusinessrel,ciqbusinessrelsourcetype","none","none","basic_join"
TR013,"Show supplier-customer relationships","SELECT br.* FROM ciqbusinessrel br JOIN ciqbusinessreltype brt ON br.businessreltypeid = brt.businessreltypeid WHERE brt.parentname = 'Supplier' AND brt.childname = 'Customer';","select_join","Maps supply chain networks for vendor dependency analysis","medium","ciqbusinessrel,ciqbusinessreltype","parentname,childname","none","join_with_filter"
TR014,"Find all relationships identified through Source Filing","SELECT br.* FROM ciqbusinessrel br JOIN ciqbusinessrelsourcetype brst ON br.businessrelsourcetypeid = brst.businessrelsourcetypeid WHERE brst.businessrelsourcetypename = 'Source Filing';","select_join","Identifies relationships from regulatory filings for compliance verification","medium","ciqbusinessrel,ciqbusinessrelsourcetype","businessrelsourcetypename","none","join_with_filter"
TR015,"Show active vendor relationships","SELECT br.*, brt.parentname, brt.childname FROM ciqbusinessrel br JOIN ciqbusinessreltype brt ON br.businessreltypeid = brt.businessreltypeid WHERE brt.parentname = 'Vendor' AND brt.currentflag = 1;","select_join","Supports vendor management and procurement strategy optimization","medium","ciqbusinessrel,ciqbusinessreltype","parentname,currentflag","none","multi_condition_join"
